field,value,activity,effect,confidence,note
twig_category,Planned Ignition,Broadcast Burn,canopy,low,Fallback bucket: prescribed fire (ambiguous pile vs broadcast).
twig_category,Chemical,DROP,none,high,Chemical treatment; excluded.
twig_category,Biological,DROP,none,high,Biological control; excluded.
twig_category,Unplanned Ignition,DROP,none,high,Wildfire; not a treatment.
twig_category,Natural Resources,DROP,none,low,Non-fuels natural-resources activity.
activity,Wildland Fire Use,Fire Use,canopy,high,"Managed/beneficial fire; kept as its own class, NOT Broadcast Burn."
activity,Wildfire - Fuels Benefit,Fire Use,canopy,high,"Beneficial wildfire (fuels benefit); Fire Use class, not Broadcast Burn."
activity,Planned Treatment Burned in Wildfire,Fire Use,canopy,medium,Planned treatment that burned in a wildfire; Fire Use class.
type,Fire Use,Fire Use,canopy,medium,Fire Use type; activity overrides for human-ignition wildfire (-> DROP).
activity,"Pollinator habitat improved, restored or maintained",Range,canopy,high,"Range/pollinator objective; classify_range: fire->Prescribed Burn (Range), else DROP."
activity,Range Cover Manipulation,Range,canopy,high,"Range objective; classify_range by method (fire->Prescribed Burn (Range), else DROP)."
activity,Range Control Vegetation,Range,canopy,high,Range objective; classify_range by method.
activity,Range Forage Improvement,Range,canopy,medium,Range objective; classify_range by method.
